Italiano,Milanese
padre nostro,pader nòster
cieli,ciel
nome,nòmm
regno,regn
volontà,vorè
terra,terra
oggi,incoeu
pane,pan
quotidiano,tucc i dì
peccati,peccaa
noi,num
male,maa
che sei nei cieli,che te seet in ciel
sia santificato il tuo nome,che 'l sia faa sant el tò nòmm
venga il tuo regno,che 'l vegna el tò regn
sia fatta la tua volontà,che 'l sia faa 'l tò vorè
come in cielo,come in ciel
così in terra,inscì anca in su la terra
dacci oggi il nostro pane quotidiano,dann incoeu el nòster pan de tucc i dì
e rimetti a noi i nostri debiti,e perdonon i nòster peccaa
come noi li rimettiamo ai nostri debitori,inscì come anca num ghe perdonom a quij che n'hann faa on tòrt
e non ci indurre in tentazione,e menon minga in de la tentazion
ma liberaci dal male,ma liberon del maa
così sia,e che 'l sia inscì
pera,el per
mela,el pòmm
arancia,el narànz
fico,el figh
pesca,el pèrsegh
ribes,el ribes
mandarino,el mandarin
lampone,el fambrôs
ciliegia,la scirésa
fragola,la magiostra
noce,la nôs
albicocca,la mognaga
prugna,la brugna
nocciola,la niscioeula
mora,la mòra
uva,l'uga
acino,pinciroeu
nespola,nèspola
pinolo,pignoeu
prudere,spiurì
prezzemolo,l'erborin
sedano,sèller
cadere,borlà giò
scivolare,scarligà
schiacciare,spetascià
pranzo al sacco,la schiscetta
aprire,dervì
chiudere,sarà su
luce,el ciar
casa,la cà
uovo,l'oeuf
occhio,l'oeucc
bocca,la bocca
testa,el coo
braccio,el brasc
gamba,la gamba
cuore,el coeur
schiena,la s'cenna
culo,el cuu
essere,vess (
io,mì
sono,son
tu,te
sei,see
lui,lù
lei,lee
è,l'è
noi,nun
voi,vujolter
siamo,semm
siete,sii
loro,lor
io,mì
ho,hoo
avere,avé
hai,hee
avere,avé
abbiamo,emm
avete,hii
loro,lor
hanno,han
cosa bella in apparenza, ma di poco valore,bosée
addetto al trasporto e seppellimento di animali morti in città,ciocchin
lanugine superiore del seme di alcune piante,pappi
regoli appiccati con funicelle ai licci del pettine,càlcor
tetto,tècc
duro,dur
odore,odor
addosso,addoss
olona,ulona
perdente,babbo
perdere tempo,cazzeggiare
oziare,cazzeggiare
molto,di brutto
tantissimo,di brutto
buona fortuna,in bocca al lupo
baciare con la lingua,limonare
fantastico,paura
eccezionale,paura
riprendersi,ripigliarsi
rimettersi,ripigliarsi
fastidio,sbatti
seccatura,sbatti
una figata,tanta roba
ottimo,top
ok,top
approvazione,top
tamarro,zarro
truzzo,zarro
amico,zio
compagno,zio
molto,un botto
un sacco,un botto
arrogante,bauscia
spocchioso,bauscia
non preoccuparti,tranqui
stai tranquillo,tranqui
voglio andare al mercato,vöri andà al mercaa
signora,sciura
traffico,casino
caos,casino
idiota,pirla
stupido,pirla
