italiano,traduzione
andare,nar
bambina,butèla
bambino,butèl
bello,bèl
bere,béar
buono,bon
cane,can
casa,casa
cuore,cor
dire,dir
domani,doman
donna,dòna
fare,far
figlio,fiol
fiore,fior
formaggio,formajo
freddo,fredo
fuoco,fogo
gatto,gato
grande,grando
guardare,vardar
lavorare,laorar
mangiare,magnar
mano,man
niente,gnente
nuovo,novo
occhio,ocio
oggi,ancò
pane,pan
parlare,parlar
piccolo,pìcolo
prendere,ciapar
ragazza,butèla
ragazzo,butèl
sedia,carega
soldi,schèi
sole,sol
tutto,tuto
uovo,ovo
vecchio,vecio
vedere,édar
vino,vin
